Key,English,French

casinoCoin,"Duke's Casino Token","Jeton du Duke's Casino"
casinoCoinDesc,"A Duke's casino coin. A currency to be converted into real money.\n\nCan be smelted in a forge to craft firearm ammunition.","Une pièce du Duke's Casino. Une monnaie à convertir en vrai argent.\n\nPeut être fondue à la forge pour fabriquer des munitions d'armes à feu."

mjItemDollars,"Dollars (1$)","Dollars (1$)"
mjItemDollarsDesc,"The dollar is the main currency in this area.","Le dollar est la principale monnaie d’échange dans la région."

mjItemDollarsCraftable,"Dollars Bundle (10.000$)","Paquet de dollars (10.000$)"
mjItemDollarsCraftableDesc,"A bundle of dollars, perfectly rolled up to be stored as space efficient as possible.","Un paquet de dollars, parfaitement enroulé pour être stocké de la manière la plus efficace possible."

mjItemMoneyCase,"Money Case","Caisse d'argent"
mjItemMoneyCaseDesc,"A sturdy money case designed for storing large amounts of cash.","Une caisse à billets robuste conçu pour stocker de grandes quantités d'argent liquide."

mjItemWallet,"Wallet","Portefeuille"
mjItemWalletDesc,"A worn out wallet containing some cash.","Un portefeuille usé contenant de l'argent liquide."

mjItemDollarsSchematics,"Counterfeit Money Schematic","Schéma de fabrication d'argent sale"
mjItemDollarsSchematicsDesc,"This schematics unlocks:\nDollars","Ce schéma déverrouille :\nDollars"
